TYPE|NAME|URL|MODEL_NAME|COLUMN_NAME_LIST|PROBLEM|WHY_ITS_BAD|SOLUTION|VALID_FLAG
Modeling|Staging Models Dependent on Other Staging Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#staging-models-dependent-on-other-staging-models|fct_staging_dependent_on_staging|PARENT, PARENT_MODEL_TYPE, CHILD, CHILD_MODEL_TYPE|Staging models depend on other staging models.|Indicates potential misnaming or incorrect dependencies.|Rename or reconfigure the model to depend on sources or intermediate models.|true
Modeling|Source Fanout|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#source-fanout|fct_source_fanout|PARENT, MODEL_CHILDREN|A single source has multiple direct child models.|Duplicates transformation logic; harder to update if the source changes.|Create a single staging model for each source and have other models reference it.|true
Modeling|Rejoining of Upstream Concepts|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#rejoining-of-upstream-concepts|fct_rejoining_of_upstream_concepts|PARENT, CHILD, PARENT_AND_CHILD, IS_LOOP_INDEPENDENT|A model joins data already joined upstream, creating a "loop" in the DAG.|Unnecessary complexity and potential performance issues.|Consolidate logic into a single model.|true
Modeling|Model Fanout|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#model-fanout|fct_model_fanout|PARENT, PARENT_MODEL_TYPE, LEAF_CHILDREN|A single model has too many direct children.|Transformations might be better in the BI layer or consolidated.|Move transformations to the BI layer or create intermediate models.|true
Modeling|Downstream Models Dependent on Source|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#downstream-models-dependent-on-source|fct_marts_or_intermediate_dependent_on_source|PARENT, PARENT_RESOURCE_TYPE, CHILD, CHILD_MODEL_TYPE|Marts/intermediate models depend directly on sources.|Violates the principle of staging models as the atomic unit of data modeling.|Add a staging model between the source and downstream model.|true
Modeling|Direct Join to Source|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#direct-join-to-source|fct_direct_join_to_source|PARENT, PARENT_RESOURCE_TYPE, CHILD, CHILD_RESOURCE_TYPE, DISTANCE|Models join directly to sources when a staging model exists.|Inconsistent transformation logic; duplicated code.|Create a staging model and have other models reference it.|true
Modeling|Duplicate Sources|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#duplicate-sources|fct_duplicate_sources|SOURCE_DB_LOCATION, SOURCE_NAMES|Multiple source nodes defined for the same database object.|Inaccurate lineage.|Combine duplicate source nodes into one.|true
Modeling|Hard Coded References|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#hard-coded-references|fct_hard_coded_references|MODEL, HARD_CODED_REFERENCES|Using hard-coded table/view names instead of ref() and source().|dbt can't infer dependencies or generate the DAG correctly.|Replace with ref() for models and source() for raw data.|true
Modeling|Multiple Sources Joined|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#multiple-sources-joined|fct_multiple_sources_joined|CHILD, SOURCE_PARENTS|A single staging model joins data from multiple sources.|Violates the one-to-one relationship between staging models and sources.|Create separate staging models for each source, then join them in an intermediate model.|true
Modeling|Root Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#root-models|fct_root_models|CHILD|Models have no defined parents.|dbt can't interpret lineage, potentially leading to errors.|Ensure all models use ref() and source() to define dependencies.|true
Modeling|Staging Models Dependent on Downstream Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#staging-models-dependent-on-downstream-models|fct_staging_dependent_on_marts_or_intermediate|PARENT, PARENT_MODEL_TYPE, CHILD, CHILD_MODEL_TYPE|Staging models depend on intermediate or marts models.|Violates the principle that staging models should only select from sources.|Rename or reconfigure the model to depend on sources.|true
Modeling|Unused Sources|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#unused-sources|fct_unused_sources|PARENT|Sources are defined in YAML but not used.|Unnecessary clutter.|Remove unused sources from the YAML file.|true
Modeling|Models with Too Many Joins|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#models-with-too-many-joins|fct_too_many_joins|RESOURCE_NAME, FILE_PATH, JOIN_COUNT|Models have excessive joins.|Increased complexity; harder to understand and maintain.|Break down complex models into smaller ones.|true
Testing|Missing Primary Key Tests|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/testing/#missing-primary-key-tests|fct_missing_primary_key_tests|RESOURCE_NAME, RESOURCE_TYPE, MODEL_TYPE, IS_PRIMARY_KEY_TESTED, NUMBER_OF_TESTS_ON_MODEL, NUMBER_OF_CONSTRAINTS_ON_MODEL|Models lack tests on their primary keys.|Risks data reliability and scalability.|Apply not_null, unique, or unique_combination_of_columns tests to primary keys.|true
Testing|Test Coverage|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/testing/#test-coverage|fct_test_coverage|MEASURED_AT, TOTAL_MODELS, TOTAL_TESTS, TESTED_MODELS, TEST_COVERAGE_PCT, BASE_TEST_COVERAGE_PCT, STAGING_TEST_COVERAGE_PCT, INTERMEDIATE_TEST_COVERAGE_PCT, MARTS_TEST_COVERAGE_PCT, OTHER_TEST_COVERAGE_PCT, TEST_TO_MODEL_RATIO|Not all models have tests.|Decreases confidence in data accuracy.|Apply generic or singular tests to models. Aim for 100% coverage with at least not_null and unique tests on primary keys.|true
