TYPE|NAME|URL|MODEL_NAME|COLUMN_NAME_LIST|DATA_TYPE_LIST|FINDINGS|RISK|BEST_PRACTICES|DEPENDS_ON|ENABLED_FLAG
Modeling|Staging Models Dependent on Other Staging Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#staging-models-dependent-on-other-staging-models|fct_staging_dependent_on_staging|PARENT, PARENT_MODEL_TYPE, CHILD, CHILD_MODEL_TYPE|TEXT, TEXT, TEXT, TEXT|Staging models depend on other staging models.|Indicates potential misnaming or incorrect dependencies.|Rename or reconfigure the model to depend on sources or intermediate models.|--depends_on:{{ref('fct_staging_dependent_on_staging')}}|true
Modeling|Source Fanout|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#source-fanout|fct_source_fanout|PARENT, MODEL_CHILDREN|TEXT, TEXT|A single source has multiple direct child models.|Duplicates transformation logic; harder to update if the source changes.|Create a single staging model for each source and have other models reference it.|--depends_on:{{ref('fct_source_fanout')}}|true
Modeling|Rejoining of Upstream Concepts|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#rejoining-of-upstream-concepts|fct_rejoining_of_upstream_concepts|PARENT, CHILD, PARENT_AND_CHILD, IS_LOOP_INDEPENDENT|TEXT, TEXT, TEXT, BOOLEAN|A model joins data already joined upstream, creating a "loop" in the DAG.|Unnecessary complexity and potential performance issues.|Consolidate logic into a single model.|--depends_on:{{ref('fct_rejoining_of_upstream_concepts')}}|true
Modeling|Model Fanout|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#model-fanout|fct_model_fanout|PARENT, PARENT_MODEL_TYPE, LEAF_CHILDREN|TEXT, TEXT, TEXT|A single model has too many direct children.|Transformations might be better in the BI layer or consolidated.|Move transformations to the BI layer or create intermediate models.|--depends_on:{{ref('fct_model_fanout')}}|true
Modeling|Downstream Models Dependent on Source|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#downstream-models-dependent-on-source|fct_marts_or_intermediate_dependent_on_source|PARENT, PARENT_RESOURCE_TYPE, CHILD, CHILD_MODEL_TYPE|TEXT, TEXT, TEXT, TEXT|Marts/intermediate models depend directly on sources.|Violates the principle of staging models as the atomic unit of data modeling.|Add a staging model between the source and downstream model.|--depends_on:{{ref('fct_marts_or_intermediate_dependent_on_source')}}|true
Modeling|Direct Join to Source|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#direct-join-to-source|fct_direct_join_to_source|PARENT, PARENT_RESOURCE_TYPE, CHILD, CHILD_RESOURCE_TYPE, DISTANCE|TEXT, TEXT, TEXT, TEXT, NUMBER|Models join directly to sources when a staging model exists.|Inconsistent transformation logic; duplicated code.|Create a staging model and have other models reference it.|--depends_on:{{ref('fct_direct_join_to_source')}}|true
Modeling|Duplicate Sources|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#duplicate-sources|fct_duplicate_sources|SOURCE_DB_LOCATION, SOURCE_NAMES|TEXT, TEXT|Multiple source nodes defined for the same database object.|Inaccurate lineage.|Combine duplicate source nodes into one.|--depends_on:{{ref('fct_duplicate_sources')}}|true
Modeling|Hard Coded References|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#hard-coded-references|fct_hard_coded_references|MODEL, HARD_CODED_REFERENCES|TEXT, TEXT|Using hard-coded table/view names instead of ref() and source().|dbt can't infer dependencies or generate the DAG correctly.|Replace with ref() for models and source() for raw data.|--depends_on:{{ref('fct_hard_coded_references')}}|true
Modeling|Multiple Sources Joined|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#multiple-sources-joined|fct_multiple_sources_joined|CHILD, SOURCE_PARENTS|TEXT, TEXT|A single staging model joins data from multiple sources.|Violates the one-to-one relationship between staging models and sources.|Create separate staging models for each source, then join them in an intermediate model.|--depends_on:{{ref('fct_multiple_sources_joined')}}|true
Modeling|Root Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/modeling/#root-models|fct_root_models|CHILD|TEXT|Models have no defined parents.|dbt can't interpret lineage, potentially leading to errors.|Ensure all models use ref() and source() to define dependencies.|--depends_on:{{ref('fct_root_models')}}|true
